Año,NUMERO DE EXPEDIENTE,No. de oficio,Fecha de oficio,Area,Infractor,Tipo de infractor,Clave del infractor,Cve. conducta infractora,Conducta infractora,Disposiciones infringidas,Preceptos sancionadores,Fecha de comisión de la irregularidad,Tipo de sanción,Monto
2007,,06-367-III-2.2/73285,19/12/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"LIBERTY FIANZAS, S.A. DE C.V.",F,14,16-0023,,Art. 86,"Art, 111, fracc. XIV",01/12/1998,Multa,42823.6
2007,,06-367-III-2.2/73285,19/12/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"LIBERTY FIANZAS, S.A. DE C.V.",F,14,24-0080,,Artículo 63 Circular F-9.1,"Artículo 111,  Fracción XXI",31/12/2005,Multa,38282.4
2007,,06-367-III-2.2/73285,19/12/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"LIBERTY FIANZAS, S.A. DE C.V.",F,14,4-N/A,,Arts. 46 y 49,"Art. 111, fracción XXI",31/12/2004,Multa,18345.6
2007,,06-367-III-2.2/73285,19/12/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"LIBERTY FIANZAS, S.A. DE C.V.",F,14,8-N/A,,Art. 67 y Circulares u Oficios Circulares,"Art. 111, fracc. XXI",31/12/2005,Multa,62899.2
2007,,06-367-III-2.2/73285,19/12/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"LIBERTY FIANZAS, S.A. DE C.V.",F,14,9-0015,,Art. 64,"Art. 111, fracción XVIII",31/12/2005,Multa,35193.6
2007,,06-367-III-2.2/73286,17/07/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"FIANZAS GUARDIANA INBURSA, S.A., GRUPO FINANCIERO INBURSA",F,7,F09-CIF0015,Desapego al Catálogo de Cuentas.,64,111 Fracción XVIII,31/12/2005,Multa,133112.45
2007,,06-367-III-2.2/73286,17/07/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"FIANZAS GUARDIANA INBURSA, S.A., GRUPO FINANCIERO INBURSA",F,7,F24-CIF0080,Deficiencias de Control,62,"111, Fracción XXI ",31/12/2005,Multa,16614
2007,,06-367-III-2.2/73297,23/07/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"ASEGURADORA INSURGENTES, S.A. DE C.V., GRUPO FINANCIERO ASERTA",F,13,F22-CIF0007,No apegarse a las Reglas de Garantías de Fianzas de Crédito.,39,111 Fracción XVI,31/12/2004,Multa,86453.64
2007,,06-367-III-2.2/73297,23/07/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"ASEGURADORA INSURGENTES, S.A. DE C.V., GRUPO FINANCIERO ASERTA",F,13,F04-CIF0009,Desviación en la constitución de la reserva de fianzas en vigor,46 y 49,111 Fracción XXI,31/12/2005,Multa,9360
2007,,06-367-III-2.2/73297,23/07/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"ASEGURADORA INSURGENTES, S.A. DE C.V., GRUPO FINANCIERO ASERTA",F,13,F15-CIF0022,Desapego a Nota Técnica.,86,111 Fracción .XXI,31/12/2005,Multa,90511.2
2007,,06-367-III-2.2/73297,23/07/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"ASEGURADORA INSURGENTES, S.A. DE C.V., GRUPO FINANCIERO ASERTA",F,13,F08-CIF0063,Incorrecta presentación de información financiera,67,111 Fracción XXI,18/04/2005,Multa,34959.6
2007,,06-367-III-2.2/73297,23/07/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"ASEGURADORA INSURGENTES, S.A. DE C.V., GRUPO FINANCIERO ASERTA",F,13,F08-CIF0064,Incorrecta presentación de información de reaseguro,67,111 Fracción XXI,31/12/2005,Multa,9360
2007,,06-367-III-2.2/73297,23/07/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"ASEGURADORA INSURGENTES, S.A. DE C.V., GRUPO FINANCIERO ASERTA",F,13,F14 BIS-CIF0067,Pago de prima a los reaseguradores participantes  fuera del plazo ,32,111 Fracción  XXI,01/01/2004,Multa,9048
2007,,06-367-III-2.2/73297,23/07/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"ASEGURADORA INSURGENTES, S.A. DE C.V., GRUPO FINANCIERO ASERTA",F,13,F24-CIF0080,Deficiencias de Control,62,"111, Fracción XXI ",31/12/2004,Multa,141782.16
2007,,06-367-III-2.2/73297,23/07/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"ASEGURADORA INSURGENTES, S.A. DE C.V., GRUPO FINANCIERO ASERTA",F,13,F11 Bis-CIS0029,Omisión en el registro contable.,100,139 Fracción XXI,31/12/2004,Multa,66909.96
2007,,06-367-III-2.2/73310,15/08/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"XL SEGUROS MÉXICO, S.A. DE C.V.",S,66,F10-CIS0033,Registro Contable Extemporáneo.,104,139 Fracción XV ,31/12/2004,Amonestación,0
2007,,06-367-III-2.2/73466,27/07/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"ASSURANT VIDA MÉXICO, S.A.",S,68,F24-CIS0103,Deficiencias de Cotrol ,102,"139, Frcción XXI ",,,0
2007,,06-367-III-2.2/73467,07/11/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"MAPFRE MÉXICO, S.A.",S,41,F09-CIS0030,Desapego al Cátalogo de Cuentas.,101,139 Fracción  XVI,31/07/2006,Amonestación,0
2007,,06-367-III-2.2/73495,31/08/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"DECO SEGUROS, S.A. DE C.V.",S,97,10-0033,,Art. 104,"Art. 139, fracción XV",31/12/2005,Multa,13572
2007,,06-367-III-2.2/73495,31/08/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"DECO SEGUROS, S.A. DE C.V.",S,97,24-0103,,Artículo 102 Circular S-17.1,"Artículo 139, Fracción XXI",31/12/2005,Multa,131929.2
2007,,06-367-III-2.2/73495,31/08/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"DECO SEGUROS, S.A. DE C.V.",S,97,33-N/A,,Libre,Artículo 139,16/08/2004,Multa,141782.16
2007,,06-367-III-2.2/73514,19/10/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"PRINCIPAL SEGUROS, S.A. DE C.V., PRINCIPAL GRUPO FINANCIERO",S,45,24-0103,,Artículo 102 Circular S-17.1,"Artículo 139, Fracción XXI",30/12/2005,Multa,0
2007,,06-367-III-2.2/73514,19/10/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"PRINCIPAL SEGUROS, S.A. DE C.V., PRINCIPAL GRUPO FINANCIERO",S,45,9-0030,,Art. 101,"Art. 139, fracción XVI",30/12/2005,Multa,54194.4
2007,,06-367-III-2.2/73515,09/11/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"PRINCIPAL PENSIONES, S.A. DE C.V., PRINCIPAL GRUPO FINANCIERO",P,907,F11-CIP0031,Registro contable equivocado,102,139 Fracción XXI,17/12/2002,Multa,83372.7
2007,,06-367-III-2.2/73515,09/11/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN FINANCIERA,"PRINCIPAL PENSIONES, S.A. DE C.V., PRINCIPAL GRUPO FINANCIERO",P,907,F11-CIP0031,Registro contable equivocado,102 en relación con el artículo 33 del Código de Comercio ,139 fracción XXI,31/12/2004,Multa,56278.56
